date,division,suspected_24h,suspected_deaths_24h,hospitalized_24h,confirmed_deaths_24h,recovered_24h,suspected_cumulative,confirmed_cumulative,hospitalized_cumulative,confirmed_deaths_cumulative,recovered_cumulative
2026-04-04,Chattogram,114,94,50,1,14,0,769,500,225,7
2026-04-04,Dhaka,315,201,64,3,35,2,2769,2045,1258,38
2026-04-04,Khulna,77,64,19,0,4,0,631,468,144,1
2026-04-04,Rajshahi,208,66,20,0,4,0,1308,1066,728,50
2026-04-04,Rangpur,12,8,18,0,0,0,167,42,21,0
2026-04-05,Chattogram,195,131,95,2,1,0,999,672,323,10
2026-04-05,Dhaka,392,269,228,0,38,1,3259,2436,1555,40
2026-04-05,Khulna,82,73,38,5,0,0,683,515,281,6
2026-04-05,Rajshahi,124,77,85,3,10,0,1480,1185,851,55
2026-04-05,Rangpur,37,11,11,0,0,0,206,55,36,0
2026-04-06,Chattogram,154,87,113,0,10,0,1170,712,484,10
2026-04-06,Dhaka,470,238,285,5,138,2,3652,2685,3924,43
2026-04-06,Khulna,101,63,62,0,9,0,767,577,256,6
2026-04-06,Rajshahi,260,91,70,0,5,0,1598,1292,937,57
2026-04-06,Rangpur,106,30,13,0,2,0,319,90,66,0
2026-04-07,Chattogram,175,125,99,0,8,0,1415,936,601,10
2026-04-07,Dhaka,499,256,238,8,186,1,4160,2945,2082,51
2026-04-07,Khulna,101,65,63,0,3,0,824,643,325,6
2026-04-07,Rajshahi,225,92,92,1,12,0,1750,1395,998,58
2026-04-07,Rangpur,54,17,26,0,4,0,379,130,109,0
2026-04-08,Chattogram,145,126,84,0,24,0,1560,1062,685,10
2026-04-08,Dhaka,505,285,243,6,135,0,4667,3231,2335,57
2026-04-08,Khulna,118,72,84,1,4,0,942,715,409,7
2026-04-08,Rajshahi,273,119,83,3,19,0,2023,1514,1081,61
2026-04-08,Rangpur,62,20,20,0,4,0,441,150,129,0
2026-04-09,Chattogram,159,126,85,0,5,0,1719,1188,770,10
2026-04-09,Dhaka,504,261,237,1,150,1,5171,3492,2572,58
2026-04-09,Khulna,84,59,60,0,0,0,1026,774,469,7
2026-04-09,Rajshahi,225,116,89,4,485,0,2248,1630,1170,64
2026-04-09,Rangpur,61,17,13,0,0,0,502,167,142,0
2026-04-10,Chattogram,186,113,305,0,0,0,1905,1301,1075,10
2026-04-10,Dhaka,462,287,219,2,140,0,5633,3779,2791,59
2026-04-10,Khulna,90,62,67,2,10,0,1116,836,536,9
2026-04-10,Rajshahi,230,100,112,0,16,0,2478,1730,1282,62
2026-04-10,Rangpur,26,12,9,0,0,0,528,179,151,0
2026-04-11,Chattogram,100,99,68,0,8,0,2005,1400,1143,10
2026-04-11,Dhaka,445,268,196,0,69,1,6078,4047,2987,59
2026-04-11,Khulna,50,48,57,0,0,0,1166,884,593,9
2026-04-11,Rajshahi,212,89,49,0,2,0,2690,1819,1331,62
2026-04-11,Rangpur,18,4,4,0,0,0,546,183,155,0
2026-04-12,Chattogram,145,112,120,0,1,0,2150,1512,1263,10
2026-04-12,Dhaka,580,357,312,5,123,4,6658,4404,3299,64
2026-04-12,Khulna,102,90,37,1,0,0,1268,974,630,10
2026-04-12,Rajshahi,241,79,77,0,21,0,2931,1898,1408,62
